Publication_Author,Publication_Journal,Publication_Year,Publication_ID,Taxa,Phylum,Class,Order,Family,Genus,Species,Broad_Group,Observed_ED,Predicted_ED,Assignment_Level,Assigned_Lookup_Name,Absolute_Error,APE,n_raw_records
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Balistes polylepis,Chordata,Teleostei,Tetraodontiformes,Balistidae,Balistes,polylepis,Teleostei,6.19,5.62,Broad group,Teleostei,0.57,9.2084006462,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Myoxocephalus scorpioides,Chordata,Teleostei,Scorpaeniformes,Cottidae,Myoxocephalus,scorpioides,Teleostei,4.34,4.35,Family,Cottidae,0.01,0.2304147465,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Myoxocephalus scorpius,Chordata,Teleostei,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,Teleostei,3.5,4.35,Family,Cottidae,0.85,24.2857142857,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Mysis litoralis,Arthropoda,Malacostraca,Mysida,Mysidae,Mysis,litoralis,Crustacea,4.81,2.2,Family,Mysidae,2.61,54.261954262,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Mysis oculata,Arthropoda,Malacostraca,Mysida,Mysidae,Mysis,oculata,Crustacea,5.49,2.2,Family,Mysidae,3.29,59.927140255,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Mysis relicta,Arthropoda,Malacostraca,Mysida,Mysidae,Mysis,relicta,Crustacea,5.01,2.2,Family,Mysidae,2.81,56.0878243513,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Mytilus trossulus,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,trossulus,Mollusca (non-cephalopods),3.29,2.14,Broad group,Mollusca (non-cephalopods),1.15,34.9544072948,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Neocalanus cristatus,Arthropoda,Maxillopoda,Calanoida,Calanidae,Neocalanus,cristatus,Crustacea,3.39,3.9,Broad group,Crustacea,0.51,15.0442477876,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Neocalanus plumchrus,Arthropoda,Maxillopoda,Calanoida,Calanidae,Neocalanus,plumchrus,Crustacea,4.68,3.9,Broad group,Crustacea,0.78,16.6666666667,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Neoepinnula americana,Chordata,Teleostei,Perciformes,Gempylidae,Neoepinnula,americana,Teleostei,5.32,5.62,Broad group,Teleostei,0.3,5.6390977444,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Neomysis rayii,Arthropoda,Malacostraca,Mysida,Mysidae,Neomysis,rayii,Crustacea,4.27,2.2,Family,Mysidae,2.07,48.4777517564,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Oncorhynchus gorbuscha,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,Teleostei,4.765,5.62,Broad group,Teleostei,0.855,17.9433368311,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Oncorhynchus keta,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,keta,Teleostei,4.26,5.62,Broad group,Teleostei,1.36,31.9248826291,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Oncorhynchus kisutch,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,Teleostei,4.335,5.62,Broad group,Teleostei,1.285,29.6424452134,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Oncorhynchus nerka,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,nerka,Teleostei,4.76,5.62,Broad group,Teleostei,0.86,18.0672268908,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Oncorhynchus tshawytscha,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha,Teleostei,4.51,5.62,Broad group,Teleostei,1.11,24.6119733925,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Osmerus mordax,Chordata,Teleostei,Osmeriformes,Osmeridae,Osmerus,mordax,Teleostei,4.89,9.04,Family,Osmeridae,4.15,84.8670756646,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Panopea abrupta,Mollusca,Bivalvia,Solenida,Hiatellidae,Panopea,abrupta,Mollusca (non-cephalopods),3.8,2.14,Broad group,Mollusca (non-cephalopods),1.66,43.6842105263,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Parasagitta elegans,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,elegans,Other invertebrates,1.585,3.0,Broad group,Other invertebrates,1.415,89.2744479495,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Peprilus burti,Chordata,Teleostei,Perciformes,Stromateidae,Peprilus,burti,Teleostei,5.51,6.74,Genus,Peprilus,1.23,22.3230490018,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Pholis laeta,Chordata,Teleostei,Perciformes,Pholidae,Pholis,laeta,Teleostei,5.14,5.62,Broad group,Teleostei,0.48,9.3385214008,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Platichthys stellatus,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Platichthys,stellatus,Teleostei,5.19,5.6,Family,Pleuronectidae,0.41,7.8998073218,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Pleuronectes quadrituberculatus,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,quadrituberculatus,Teleostei,3.27,5.8,Genus,Pleuronectes,2.53,77.370030581,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Pododesmus macrochisma,Mollusca,Bivalvia,Arcida,Anomiidae,Pododesmus,macrochisma,Mollusca (non-cephalopods),4.71,2.14,Broad group,Mollusca (non-cephalopods),2.57,54.5647558386,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Pontinus longispinis,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Pontinus,longispinis,Teleostei,3.75,5.1,Family,Scorpaenidae,1.35,36.0,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Pristipomoides argyrogrammicus,Chordata,Teleostei,Perciformes,Lutjanidae,Pristipomoides,argyrogrammicus,Teleostei,4.7,5.62,Broad group,Teleostei,0.92,19.5744680851,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Pugettia producta,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,producta,Crustacea,3.65,3.9,Broad group,Crustacea,0.25,6.8493150685,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Pungitius pungitius,Chordata,Teleostei,Gasterosteiformes,Gasterosteidae,Pungitius,pungitius,Teleostei,5.14,5.62,Broad group,Teleostei,0.48,9.3385214008,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Pyrosoma atlanticum,Chordata,Thaliacea,Pyrosomida,Pyrosomatidae,Pyrosoma,atlanticum,Other invertebrates,0.493,3.0,Broad group,Other invertebrates,2.507,508.5192697769,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Reinhardtius hippoglossoides,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Reinhardtius,hippoglossoides,Teleostei,3.26,5.6,Family,Pleuronectidae,2.34,71.7791411043,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Saduria entomon,Arthropoda,Malacostraca,Isopoda,Chaetiliidae,Saduria,entomon,Crustacea,3.7,3.9,Broad group,Crustacea,0.2,5.4054054054,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Saduria sabini,Arthropoda,Malacostraca,Isopoda,Chaetiliidae,Saduria,sabini,Crustacea,2.5,3.9,Broad group,Crustacea,1.4,56.0,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Salvelinus malma,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus,malma,Teleostei,4.66,5.62,Broad group,Teleostei,0.96,20.6008583691,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Saurida normani,Chordata,Teleostei,Aulopiformes,Synodontidae,Saurida,normani,Teleostei,4.72,5.62,Broad group,Teleostei,0.9,19.0677966102,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Saxidomus gigantea,Mollusca,Bivalvia,Venerida,Veneridae,Saxidomus,gigantea,Mollusca (non-cephalopods),3.21,2.14,Broad group,Mollusca (non-cephalopods),1.07,33.3333333333,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Sclerocrangon boreas,Arthropoda,Malacostraca,Decapoda,Crangonidae,Sclerocrangon,boreas,Crustacea,3.86,3.9,Broad group,Crustacea,0.04,1.0362694301,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Sebastes aleutianus,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,aleutianus,Teleostei,5.32,5.1,Family,Scorpaenidae,0.22,4.1353383459,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Sebastes alutus,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,alutus,Teleostei,5.085,5.1,Family,Scorpaenidae,0.015,0.2949852507,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Sebastes caurinus,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,caurinus,Teleostei,4.14,5.1,Family,Scorpaenidae,0.96,23.1884057971,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Sebastes ciliatus,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,ciliatus,Teleostei,6.2,5.1,Family,Scorpaenidae,1.1,17.7419354839,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Sebastes melanops,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,melanops,Teleostei,5.72,5.1,Family,Scorpaenidae,0.62,10.8391608392,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Sebastes polyspinis,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,polyspinis,Teleostei,6.05,5.1,Family,Scorpaenidae,0.95,15.7024793388,2
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Steindachneria argentea,Chordata,Teleostei,Gadiformes,Steindachneriidae,Steindachneria,argentea,Teleostei,3.82,5.62,Broad group,Teleostei,1.8,47.1204188482,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Stenobrachius leucopsarus,Chordata,Teleostei,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,Teleostei,10.1,7.0,Family,Myctophidae,3.1,30.6930693069,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Stenodus nelma,Chordata,Teleostei,Salmoniformes,Salmonidae,Stenodus,nelma,Teleostei,7.2,5.62,Broad group,Teleostei,1.58,21.9444444444,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Stichaeus punctatus,Chordata,Teleostei,Perciformes,Stichaeidae,Stichaeus,punctatus,Teleostei,4.05,5.4,Family,Stichaeidae,1.35,33.3333333333,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Strongylocentrotus droebachiensis,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,droebachiensis,Other invertebrates,2.27,3.0,Broad group,Other invertebrates,0.73,32.1585903084,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Strongylocentrotus franciscanus,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,franciscanus,Other invertebrates,1.43,3.0,Broad group,Other invertebrates,1.57,109.7902097902,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Synagrops bellus,Chordata,Teleostei,Perciformes,Acropomatidae,Synagrops,bellus,Teleostei,3.41,5.62,Broad group,Teleostei,2.21,64.8093841642,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Synagrops spinosus,Chordata,Teleostei,Perciformes,Acropomatidae,Synagrops,spinosus,Teleostei,6.47,5.62,Broad group,Teleostei,0.85,13.1375579598,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Synagrops trispinosus,Chordata,Teleostei,Perciformes,Acropomatidae,Synagrops,trispinosus,Teleostei,4.41,5.62,Broad group,Teleostei,1.21,27.4376417234,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Telmessus cheiragonus,Arthropoda,Malacostraca,Decapoda,Cheiragonidae,Telmessus,cheiragonus,Crustacea,3.92,3.9,Broad group,Crustacea,0.02,0.5102040816,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Themisto libellula,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,libellula,Crustacea,5.53,3.9,Broad group,Crustacea,1.63,29.4755877034,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Thysanoessa inermis,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,inermis,Crustacea,4.2,3.815,Family,Euphausiidae,0.385,9.1666666667,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Thysanoessa longipes,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,longipes,Crustacea,5.23,3.815,Family,Euphausiidae,1.415,27.0554493308,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Thysanoessa raschii,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,raschii,Crustacea,5.62,3.815,Family,Euphausiidae,1.805,32.1174377224,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Thysanoessa spinifera,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,spinifera,Crustacea,4.42,3.815,Family,Euphausiidae,0.605,13.6877828054,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Trichodon trichodon,Chordata,Teleostei,Perciformes,Trichodontidae,Trichodon,trichodon,Teleostei,4.22,5.62,Broad group,Teleostei,1.4,33.1753554502,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Triglops pingelii,Chordata,Teleostei,Scorpaeniformes,Cottidae,Triglops,pingelii,Teleostei,3.76,4.35,Family,Cottidae,0.59,15.6914893617,1
Albo-Puigserver et al.,Deep-Sea Research II,2017,Albo-Puigserver et al. | Deep-Sea Research II | 2017,Sardinella aurita,Chordata,Teleostei,Clupeiformes,Clupeidae,Sardinella,aurita,Teleostei,5.64,6.99,Family,Clupeidae,1.35,23.9361702128,1
Anderson,Thesis--California Polytechnic State University,2016,Anderson | Thesis--California Polytechnic State University | 2016,Citharichthys sordidus,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,sordidus,Teleostei,3.18,5.62,Broad group,Teleostei,2.44,76.7295597484,1
Anderson,Thesis--California Polytechnic State University,2016,Anderson | Thesis--California Polytechnic State University | 2016,Octopus rubescens,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,rubescens,Cephalopoda,3.35,4.7,Family,Octopodidae,1.35,40.2985074627,1
Anderson,Thesis--California Polytechnic State University,2016,Anderson | Thesis--California Polytechnic State University | 2016,Sebastes mystinus,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,mystinus,Teleostei,3.68,5.1,Family,Scorpaenidae,1.42,38.5869565217,1
Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,Anthony et al. | Journal of Experimental Marine Biology and Ecology | 2000,Anoplarchus purpurescens,Chordata,Teleostei,Perciformes,Stichaeidae,Anoplarchus,purpurescens,Teleostei,4.28,5.4,Family,Stichaeidae,1.12,26.1682242991,1
Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,Anthony et al. | Journal of Experimental Marine Biology and Ecology | 2000,Artedius fenestralis,Chordata,Teleostei,Scorpaeniformes,Cottidae,Artedius,fenestralis,Teleostei,4.095,4.35,Family,Cottidae,0.255,6.2271062271,2
Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,Anthony et al. | Journal of Experimental Marine Biology and Ecology | 2000,Bathymaster signatus,Chordata,Teleostei,Perciformes,Bathymasteridae,Bathymaster,signatus,Teleostei,4.24,5.62,Broad group,Teleostei,1.38,32.5471698113,1
Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,Anthony et al. | Journal of Experimental Marine Biology and Ecology | 2000,Blepsias bilobus,Chordata,Teleostei,Scorpaeniformes,Hemitripteridae,Blepsias,bilobus,Teleostei,3.54,5.62,Broad group,Teleostei,2.08,58.7570621469,1
Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,Anthony et al. | Journal of Experimental Marine Biology and Ecology | 2000,Blepsias cirrhosus,Chordata,Teleostei,Scorpaeniformes,Hemitripteridae,Blepsias,cirrhosus,Teleostei,3.05,5.62,Broad group,Teleostei,2.57,84.262295082,1
Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,Anthony et al. | Journal of Experimental Marine Biology and Ecology | 2000,Cottus tenuis,Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,tenuis,Teleostei,4.29,4.35,Family,Cottidae,0.06,1.3986013986,1
Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,Anthony et al. | Journal of Experimental Marine Biology and Ecology | 2000,Gadus chalcogrammus,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,chalcogrammus,Teleostei,3.405,4.7,Family,Gadidae,1.295,38.0323054332,2
Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,Anthony et al. | Journal of Experimental Marine Biology and Ecology | 2000,Gadus macrocephalus,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,macrocephalus,Teleostei,3.54,4.7,Family,Gadidae,1.16,32.7683615819,3
Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,Anthony et al. | Journal of Experimental Marine Biology and Ecology | 2000,Glyptocephalus zachirus,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Glyptocephalus,zachirus,Teleostei,3.02,5.6,Genus,Glyptocephalus,2.58,85.4304635762,1
